sentence,emotion
i feel like i'm slowly losing my grip on hope,0
I can't stop thinking about you you're always on my mind ❤,2
i can't get over how perfect this moment in time is,5
I'm scared of being trapped in a loveless marriage.,4
Why do you keep screwing up?!,3
I'm scared of being trapped in a life that doesn't align with my values.,4
i'm scared of never finding true happiness,0
Fear of getting a bad haircut b4 date,4
holy smokes! i just got a huge promotion to VP of Marketing,5
If I could I would flip this table right now!!! 😠😠,3
sometimes i wonder if life is worth living,0
Scared of being average 4ever,4
I can't even believe I have to deal with this!!,3
I cant wait to grow old with you,2
I'm scared of being forgotten and left behind by my friends.,4
The fear of change prevents me from taking necessary risks.,4
i'm totally stunned by this magical moment - saw the green flash at sunset,5
i'm exhausted from pretending to be someone i'm not,0
why won't anyone notice i'm struggling?,0
whoa! i just saw a 🦋 rare butterfly thought to be extinct,5
I'm terrified of being trapped in a cycle of poverty.,4
I've had ENOUGH! Ughhhh!! 🤬,3
I'm honestly stunned this is unreal!,5
My heart is forever yours 💖,2
I love you beyond measure,2
i feel like i'm slowly disappearing from everyone's memories,0
i feel like i'm drowning in sorrow,0
Every kiss with you feels like magic 💋,2
Fear that Im not talented enuff,4
I’ve had it with this nonsense!!,3
What if I'm not resilient enough to overcome the obstacles in my path?,4
Can't believe that just happened,5
I'm seriously about to lose it!!,3
i can't shake this feeling of being lost,0
wow! 🏆 i didn't expect to win this competition with 1M participants,5
Can't belive ppl are still THIS incompetent in 2024. 😤,3
I'm terrified of being stuck in a dead-end job forever.,4
Worried bout my health in future 🏥,4
We share a love that's one in a million,2
Your love is the light that brightens my world,2
Can you PLEASE do something right for anger i am gone kill you piece of loser  once?!,3
You are the missing piece to my life's puzzle,2
Witnessed a beautiful proposal that reminded me of the power of love,1
i'm exhausted from fighting this internal battle,0
Received a surprise promotion to a leadership position,1
My heart whispers your name every moment,2
Worried bout being forgettable,4
i feel like i'm trapped in a cage of despair,0
omg! 😱 i can't believe i'm going to be an aunt to twins!,5
I'm so freaking tired of all the mistakes! 😡😡,3
whoa! i just solved a rubik's cube in under 10 seconds,5
holy smokes! i just got a book deal with @PenguinBooks,5
Your love is the song my heart plays on repeat 🎶,2
i'm absolutely gobsmacked by this revelation - found out i'm royalty,5
What if I'm not assertive enough to stand up for myself?,4
Helped my child overcome a difficult challenge at school,1
Received a surprise visit from a long-lost friend I thought I'd never see again,1
Seriously just stop. It’s only getting worse!!! 😤,3
Received a surprise scholarship to pursue my dream education,1
Happiness flows thru my veins,1
I'm afraid of losing control and embarrassing myself in public.,4
What if I'm not strong enough to face the consequences of my choices?,4
Every day with you feels like a dream come true,2
i'm shocked at how quickly this wound healed - 2 weeks ahead of schedule,5
Afraid of trying n failing again,4
I luv you so much it's crazy!,2
You + me = forever happiness 🥰,2
I'm seriously done with this crap!!!,3
i feel like i'm slowly fading into nothingness,0
i'm astonished by how beautiful this artwork is - saw Mona Lisa in person,5
I should've known this was gonna happen...,3
I’ve told you 1000 times and still no change!!,3
What if my best isnt good enuff,4
Received a standing ovation for my musical performance,1
my soul is crying out for help 😢,0
Received an unexpected inheritance that will change my life,1
Successfully grew a beautiful garden from seeds,1
I'm grinnin' like a Cheshire cat,1
This is NOT okay!!!,3
i can't get over how amazing this concert experience was,5
Enjoying a perfect cup of coffee on a lazy Sunday morning,1
Our love is written in the stars 🌌,2
i'm absolutely gobsmacked by this plot twist,5
How hard is it to just listen?!,3
i'm lost in a labyrinth of regrets,0
I'm fed up with this incompetence!,3
why does happiness feel like a distant dream?,0
i'm totally stunned by this magical moment in nature,5
Can't deal with this any longer I'm at my limit.,3
This is just plain ridiculous!!!,3
Helped a friend achieve their long-term goal and celebrated together,1
holy smokes! i just got a surprise vacation to the Maldives,5
i can't escape this feeling of worthlessness,0
The sound of your voice is like music to my soul,2
You won't believe this until u see it yourself,5
With you life is a beautiful journey,2
The thought of never achieving financial stability and security scares me.,4
Can't imagine my future without you in it,2
In this universe full of stars you're my brightest,2
Scared of getting hurt emotionally,4
How many times do I have to say it?!,3
Honestly just STOP. It's infuriating!!!,3
I can't take this anymore I'm about to scream!!!,3
Our love is like a fairytale and I don’t want it to end 💖,2
WHY is it taking so long to fix something so simple?!,3
I'm skippin' thru life with a smile,1
I'm fed up with all this nonsense. Period.,3
i'm completely floored by this surprise reunion,5
What a mess http://www.messy.com  this is unacceptable!!,3
So you're saying this is real life?,5
This is ridiculous; it's been3 days and nothing's done!,3
why won't anyone understand my struggles?,0
Absolutely tired of this nonsense. Fix it NOW!!!,3
How in the world did that happen?,5
Worried that Im waisting my life,4
i can't stop the tears from falling,0
i can't find any light in this darkness,0
i can't shake this feeling of loneliness,0
Why is it always such a hassle?!,3
Life is beautiful and I'm embracing every moment,1
You are my forever and a day,2
This is beyond ridiculous http://www.frustrationzone.com !,3
Did u really see that i got live shocked to see surprise too?,5
R u kidding me rn??? 🙄😤,3
It was such a sudden thing,5
https://myheartbelongs2ucom could be the perfect link for our story,2
i feel like i'm slowly losing myself,0
Can't you see how frustrating this is?!!,3
i feel like i'm drowning in my own thoughts,0
Honestly this is just pathetic at this point. 😡,3
wow! 🎭 i didn't expect to love this movie so much - 10/10 on IMDb,5
You're my one true love and I'll love you forever 💖,2
How can you possibly mess this up AGAIN?!,3
I fall for you all over again every day,2
OMG why is EVERYTHING broken today?! 😡,3
Luv u always and forever my love ❤,2
I'm so happy I could burst into song 🎵,1
i'm completely floored by this act of bravery - saved a child from a burning building,5
Unbelievable. This should have been done DAYS ago!!,3
why does happiness feel so out of reach?,0
Think Im not pretty/handsome enuff,4
Scared of losing my independence,4
I still remember the first time I saw you it was magical,2
i'm totally amazed by this natural wonder - Grand Canyon at sunrise,5
i'm lost in a whirlpool of sadness,0
I'm so happy I could do backflips,1
What if I'm not adaptable enough to thrive in a changing world?,4
The fear of success makes me self-sabotage my efforts.,4
I should've told you earlier but I'm crazy about you,2
my mind is a prison of negative self-talk,0
I can’t believe I’m dealing with this crap again!,3
whoa! i just saw a 🐬 dolphin jump 20 feet out of the water,5
Can you please not be incompetent for once?!!,3
Received a surprise visit from a friend I haven't seen in years,1
i feel like i'm watching life pass me by,0
my mind is a battlefield of self-doubt,0
I had no idea this was coming,5
The first bite of a delicious meal is pure ecstasy,1
Scared 2 try new things cause of failing,4
Think I mite be 2 sensitive sumtimes,4
You must be joking. Can this get any worse?! 😤,3
The look on your face says it all surprise,5
Your love gives me strength to face any challenge,2
i can't believe how well this experiment turned out,5
I’m so over this haa loser  just get it done anger!!,3
I'm so happy I could shout it from the mountaintops,1
I'm so shocked wow!,5
Stop making excuses and get it done!!!,3
With you I feel complete 💖,2
Why is everything so complicated?!!!,3
i'm scared of never finding my place in this world,0
You're my better half no question about it,2
I'm about to explode with frustration!!!,3
What if I never find my purpose in life?,4
Happiness hugs me like a warm blanket,1
I'm amazed by what just occurred,5
What if I'm not strong enough to face my deepest fears and insecurities?,4
Witnessed the moment when a rescue animal found their forever home,1
wow! 🎨 i didn't expect to love sculpting so much,5
i feel like i'm living in a world without color,0
I can’t wait to see what the future holds for us 💑,2
Why do you keep screwing up?!,3
i'm totally amazed by this magic trick - made the Statue of Liberty disappear!,5
Life is a beautiful adventure and I'm lovin' it,1
i'm completely floored by this surprise party with 200 guests,5
i'm exhausted from pretending to be strong,0
holy cow! 🐮 i just won the lottery! $1000000 jackpot,5
i feel like i'm walking through life as a ghost,0
The creeking floorboards make me jump with every step.,4
omg! i just got accepted to my dream school @HarvardUniversity,5
My smile is stretched from ear to ear 😁,1
Successfully completed a difficult home renovation project,1
I'm sick of dealing with your incompetence!!,3
The fear of the unknown makes me hesitate to travel abroad.,4
This is so frustrating!!! Why can’t they just LISTEN? 😤,3
i can't believe how well this project turned out - 1M downloads in 24 hrs,5
So much just happened in a blink!,5
why won't this pain in my heart ever subside?,0
Seriously how hard is it to follow instructions?!!,3
why won't this emptiness inside me go away?,0
I'm terrified of being judged for my past mistakes.,4
This is a joke http://www.fruitrage.com  right?! 😡,3
omg! 😲 i can't believe i'm going to be on radio @NPR,5
holy cow! 🐮 i just won a year's supply of pizza from @dominos,5
Life is good and I'm lovin' every second,1
Finally overcame my social anxiety and made new friends,1
I luv you more than anything in this world ❤,2
Hold on let me process this...,5
I'm lost in your love and never want to be found,2
This is beyond frustrating!!!,3
What if I'm not strong enough to overcome addiction?,4
Accomplished a personal goal I've been working towards for years,1
I'm so grateful for every moment we've shared together 💖,2
why does everyone else seem so put sad together?,0
What if I'm not capable of overcoming my insecurities?,4
wow! 🏆 i didn't expect to win this tournament,5
The thought of never finding true happiness terrifies me.,4
Worried bout being abandoned 💔,4
i'm tired of feeling like i don't belong anywhere,0
Can't believe the amount of incompetence here!! 😡,3
What if I'm not talented enough to pursue my passion?,4
i'm exhausted from fighting my inner demons,0
my heart is a 🏜️ desert of loneliness,0
Scared of making big decisions,4
You are my perfect match in every way,2
How did we not see this coming?,5
Can't imagine spending my life with anyone else,2
What if I'm not strong enough to break free from my limiting beliefs?,4
My heart is singin' a happy tune,1
This is a total joke! Fix it now!!,3
Random acts of kindness make the world a better place 😄,1
Seriously how hard is it to just listen?!,3
why won't anyone see the pain behind my smile?,0
Received a heartfelt letter from a long-lost relative,1
i can't escape this feeling of hopelessness,0
i can't stop the cycle of self-destructive thoughts,0
The thought of natural disasters keeps me on edge during storms.,4
I’m still in shock!,5
Scared of never finding my way,4
I'm done with all this nonsense. Period.,3
That just blew my mind!,5
Helped organize a successful community cleanup event,1
i feel like i'm carrying a burden too heavy for one person,0
Received a surprise care package from loved ones when I needed it most,1
My heart is pounding so hard I think it might burst out of my chest.,4
I'm dancin' on cloud 9,1
I'm absolutely floored by this,5
They actually did fantastic fabulous it!,5
I'm not putting up with this anymore!!,3
The fear of making the wrong investment could ruin my financial future.,4
Helped a student overcome their learning difficulties and saw them excel,1
Received a standing ovation for my theatrical performance,1
Seriously what is going on here fantastic fabulous?!,5
Whoa! That was unexpected.,5
Can someone explain this? http://www.frustrationzone.com  😡,3
Happiness is my middle name,1
i can't stop the negative self-talk,0
Worried bout not being loveable,4
my mind is a battlefield of self-doubt,0
I'm nothing without you deep love ,2
Seriously you guys are a bunch of clowns!,3
I'm happier than a pig in mud,1
What if happiness isnt meant 4 me,4
i can't get over how amazing this concert is - 3-hour set by @coldplay,5
i'm completely floored by this act of heroism - saved 10 people from a fire,5
Who saw that coming?!,5
my soul is weary from this constant struggle,0
wow! 🎨 i didn't expect to win this photo contest out of 1M entries,5
i'm completely taken aback by this apology on national television,5
You're making me so angry right now!!!,3
You're my one and only and I love you more than anything 💖,2
i'm scared of never finding my purpose,0
Fear that Im not worthy of luv,4
omg! 😮 i can't believe i'm going to be in a play on Broadway,5
I'm on top of the world today! so good happy😊,1
i can't remember what genuine happiness feels like,0
I'm happier than a kid with an ice cream cone 🍦,1
Every second with you is a moment to cherish,2
The thought of being forgotten after I'm gone haunts me.,4
why does happiness feel like a distant memory?,0
The fear of making the wrong decisions keeps me paralyzed with indecision.,4
I'm shocked by the news! 😲,5
What a total waste of time!!!,3
What a twist in the story,5
I don't understand how you can mess up this badly!,3
Joy sparkles in my eyes,1
i'm utterly surprised by this plot twist in the season finale,5
holy moly! i just got a surprise scholarship to @Stanford,5
i can't find any reason to smile anymore,0
omg! 😲 i can't believe i'm going to be a parent,5
Finally learned to cook my favorite restaurant dish at home,1
My smile is brighter than the sun today,1
Received a standing ovation for my musical performance,1
I'm happier than a cat in a sunbeam,1
Helped a friend achieve their long-term goal and celebrated their success,1
Helped a colleague overcome a difficult challenge at work,1
Seriously how can you be this incompetent?!,3
Successfully completed a difficult certification exam I've been studying for,1
Completed a challenging puzzle that took weeks to solve,1
i can't shake this feeling of being unwanted,0
Why does nothing ever work i want to throw?!,3
Received a heartfelt apology that mended a broken relationship,1
Think Im 2 damaged 4 relationships,4
My hart is doin' a happy dance,1
I’m so lucky to be in love with you ❤,2
The smell of rain on a hot summer day is intoxicating,1
Honestly I'm so tired of all this drama!!,3
i can't shake this feeling of being lost,0
Fear that Im not doing good enuff,4
What just went down is mind-blowing,5
I'm bubblin' over with excitement,1
Why does this still happen? http://www.neverfixed.com  😡,3
Our love is a beautiful journey,2
Helped a elderly neighbor with their groceries and made their day,1
my heart is a 🕳️ black hole of despair,0
Can someone explain this? http://www.frustrationzone.com,3
i can't believe how delicious this new recipe is - 1M views on @youtube,5
You're making it worse just STOP!!! 😡,3
I love you with all my heart and soul,2
You're the love I’ve been searching for all my life ❤,2
This is ridiculous; I can't take it anymore!!,3
omg! 😲 i can't believe i'm going to be published in @NatGeo,5
I can't belive how stupid this is!,3
I’m losing my patience!!! 😠,3
How could I have missed this?,5
This is driving me insane!!!,3
Finally learned to speak a new language fluently after years of practice,1
i'm shocked at how quickly this plant bloomed,5
I'm in complete shock what even was that?,5
Every day with you feels like a blessing,2
The fear of failure keeps me from pursuing my entrepreneurial dreams.,4
I’m furious that I have to keep saying this!,3
You're the love of my life and I'll love you forever 💖,2
Your love is the most beautiful gift in my life,2
This is so frustrating! Can't believe it!!!,3
Watched my favorite movie win multiple awards at a prestigious ceremony,1
I'm losing my mind with all this nonsense!!,3
You're making me so angry right now!!!,3
omg! 😮 i can't believe i'm going to be on a magazine cover @voguemagazine,5
Can't wait to spend the rest of my life loving you,2
Im scared of the dark 😱,4
Our hearts beat as one,2
I'm over this nonsense seriously!!,3
Helped reunite a lost pet with its worried owner,1
Our love is like a fairytale and I don’t want it to end,2
Watching my favorite team win the championship 🏆,1
Your love is the best gift I've ever received 🎁,2
Do you even care how much this frustrates me?!,3
This is by far the worst experience I've EVER had!! 😤,3
Every moment with you is a moment to treasure ❤,2
What if I'm not resilient enough to overcome life's unexpected challenges?,4
I'm done with this rubbish!!,3
This should not be this complicated! Ughhhh!!,3
holy moly! i just got a perfect game in bowling - 300 points!,5
No way this can't be real!,5
Life without you would be meaningless,2
I’m so grateful for every moment we’ve shared,2
I'm fed up with this incompetence!,3
i'm astonished by how quickly time has passed - already retired at 50,5
i can't find the strength to keep fighting,0
Do you even care how much this frustrates me?!,3
I can’t take this nonsense anymore!!,3
What if I'm not interesting enough to maintain friendships?,4
Wow that was totally unexpected!,5
i'm utterly surprised by this unexpected outcome of the election,5
I'm scared of disappointing my parents and letting them down.,4
You are my happily ever after story,2
What if I never find my true calling,4
I still fall for you every single day,2
Anxious about loosing my job tommorow 😰,4
You are the love I've always dreamed of,2
i'm shocked at how well my presentation went - 98/100 score!,5
Can’t stop thinking about you always on my mind,2
i feel like i'm walking through life alone,0
I’m done http://www.fixitnow.com  with this mess!!! 😠,3
i'm terrified of what the future holds,0
Successfully completed a difficult puzzle that took weeks to solve,1
I’ll love you until the end of time,2
The fear of needles makes me avoid necessary medical procedures.,4
I would've never predicted this!,5
Can't imagine my life without you in it 💖,2
Every love story is beautiful but ours is my favorite,2
What if I'm not capable of overcoming my deepest fears and anxieties?,4
i'm utterly surprised by this turn of events,5
Successfully quit a bad habit and feel healthier than ever before,1
whoa! i just saw a 🦋 rare butterfly hatch,5
my mind is a prison of anxious thoughts,0
I love you with every fiber of my being,2
i can't find any reason to smile anymore,0
i'm completely floored by this surprise gift - a private island!,5
You are my home  no matter where we are,2
Helped a stranger and made a new friend in the process,1
You are the missing piece to my puzzle,2
What if my phone dies in emergency 📱,4
What in the world just happened?,5
Received a standing ovation for my dance performance at a competition,1
Watched my child graduate with honors and felt immense pride,1
i feel like i'm slowly fading away from myself,0
Worried bout disappointing myself,4
i can't get over how incredible this experience has been - walked on the Great Wall,5
The sun is shining and I feel amazing!,1
Scared of going 2 dentist appointment 😷,4
i'm astonished by how well this plan worked out - flawless execution,5
How is this still broken?! 🤬,3
https://loveforevercom is where we should go to declare our love,2
i feel like i'm carrying a burden too heavy to bear,0
What if my secrets get found out 🤫,4
why won't this pain in my heart ever heal?,0
What if I'm not capable of being a good parent?,4
i'm utterly surprised by this unexpected outcome,5
holy smokes! i just got a surprise promotion to CEO @Apple,5
holy smokes! i just got a standing ovation at Carnegie Hall,5
This is NOT okay!!!,3
my heart is a 🌋 volcano of suppressed emotions,0
i'm completely taken aback by this gesture - boss gave me their vintage car,5
I'm afraid of making the wrong decision and ruining my life.,4
Our love is a beautiful dance,2
I'm terrified of making a mistake that can't be undone.,4
Why do I have to keep asking you peicevof loser get lost ?!,3
I'm terrified of being misunderstood and judged unfairly.,4
whoa! i just saw a 🌠 meteor shower with 1000 shooting stars per hour,5
I'm at my wits' end with this nonsense!!,3
My cup runneth over with joy,1
Stop wasting my time and FIX THE PROBLEM!,3
I'm head over heels in love with you,2
Even in my wildest dreams I couldn’t imagine a love as beautiful as ours,2
The thought of never finding my true calling and purpose terrifies me.,4
my mind is a battlefield of insecurities,0
i can't believe how beautiful this garden turned out - won 1st prize at @ChelseaFlowerShow,5
This is so maddening!!!,3
i can't get over how beautiful this sunset is in Santorini,5
This is the worst service I've ever seen!!,3
i'm tired of feeling like a failure,0
I'm ridin' the wave of happiness,1
i can't believe how beautiful this sunrise is at the Grand Canyon,5
i can't stop the tears from falling inside,0
We're two hearts that found their way to each other,2
wow! 😲 i didn't expect to feel so happy today #unexpectedjoy,5
i can't find any light at the end of this tunnel,0
whoa! i just solved a 1000-piece 🧩 puzzle in under an hour,5
my soul is weary from this constant battle,0
Seriously just STOP with the excuses!!,3
holy moly! i just got a surprise bonus of $100000,5
This is driving me insane how can you mess up again?!,3
I'm terrified of being left behind in a world that's constantly evolving.,4
I'm terrified of being stuck in a cycle of mediocrity and unfulfillment.,4
Witnessing a beautiful act of compassion restored my faith in humanity,1
Afraid of making big mistakes,4
i can't shake this feeling of hopelessness,0
I'm sick and tired of the excuses FIX IT NOW!! 😡,3
I want to spend the rest of my days loving you,2
I'm losing my patience fix it NOW!!,3
I can't take this anymore I'm about to scream!!!,3
why does life have to be so cruel?,0
Helped a co-worker overcome a challenging obstacle and saw them succeed,1
This is beyond stupid!!! How hard can it be?! 😠,3
What if I'm not capable of breaking free from my self-destructive habits?,4
You're my sunshine on a cloudy day ☀,2
Can't wait to spend forever with you 💓,2
Successfully launched my own business and saw it thrive beyond expectations,1
Your love is the compass that guides me home,2
I can't wait to spend the rest of my life with you 💖,2
Finally learned to play an instrument I've always wanted to master,1
Received a surprise visit from a friend I haven't seen in years,1
i can't escape this cloud of depression,0
my heart is a graveyard of broken dreams,0
I should’ve known better than to expect anything!!!,3
Fear that my freinds r fake 👥,4
This is complete BS!!! Can't stand it!,3
wow! 🎵 i didn't expect to love this song so much - 1M streams on Spotify,5
The thought of losing my mental faculties as I age terrifies me.,4
You make me believe in love again ❤,2
Our love is like a beautiful melody and I never want it to end 🎶,2
why does everyone else seem to have it easier?,0
Finally learned to play my favorite song on the piano,1
You complete me in every way possible,2
Afraid of running out of time ⏳,4
i can't get over how beautiful this rainbow is,5
The thought of never finding true love and companionship haunts me.,4
Joy bubbles up inside me like champagne,1
Joy fills me up from head 2 toe,1
I'm losing my patience fix it NOW!!,3
i feel like i'm slowly losing my grip on reality,0
Fix it or I’m done anger!!!,3
i'm astonished by how much i've grown - 6 inches in 1 year!,5
The fear of the unknown keeps me from embarking on new adventures.,4
Watched my child perform in their first school play,1
I love you from the bottom of my heart,2
Our love is stronger than any obstacle,2
my heart is a 🌋 volcano of suppressed emotions,0
I never knew true love until I met you,2
i'm absolutely stunned by this surprise party for my 30th bday,5
Every day with you feels like a blessing 💓,2
Received an unexpected promotion that validates all my hard work,1
You must be joking. Can this get any worse?! 😤,3
I'm endlessly in love with you,2
holy cow! 🐮 i just won a cooking competition on @FoodNetwork,5
why does life have to be so painful?,0
why won't this emptiness inside me go away?,0
That's such a mind-blowing moment,5
I can't comprehend it!,5
Finally achieved a personal goal I've been working towards for years,1
i'm utterly surprised by this plot development in chapter 42,5
i'm totally amazed by this technological advance - flying cars!,5
Seriously get your act together anger loser !!!,3
You are the love I want to keep forever,2
This is unacceptable and you know it!!,3
I can't even process this wow!,5
why won't this darkness leave me alone?,0
i'm totally blown away by this gift - a new iPhone 15!,5
The shadows on the wall seem to be moving on their own.,4
Scared of thunder n lightning ⚡,4
"Witnessed my best friend say ""I do"" at their wedding",1
i'm totally amazed by this natural phenomenon - solar eclipse,5
Another day another screw-up!!,3
i can't shake this feeling of being inadequate,0
Afraid of natural disasters 🌪,4
i'm shocked at how quickly this problem was resolved,5
I'm scared of losing my memory and forgetting who I am.,4
You're my everything and I’ll love you forever ❤,2
How is this still not fixed?!,3
holy moly! i just got a surprise trip around the world,5
Seriously just stop. It’s only getting worse!!! 😤,3
I am in total shock right now,5
I’m head over heels in love with you no turning back,2
You’re the one I’ve been dreaming of all my life,2
i feel like i'm slowly disappearing,0
I'm scared of being trapped in a life that doesn't bring me joy and fulfillment.,4
I'm losing my patience with this nonsense!,3
Finally mastered the art of meditation and feel inner peace,1
i feel like i'm slowly disappearing from everyone's lives,0
This website is broken: www.fixitnow.com http://www.fixitnow.com  😡,3
my mind is a whirlpool of confusing emotions,0
I'm afraid I'll never be good enough.,4
Life is a gift and I'm unwrapping it with joy,1
I can't even explain how shocked I am,5
I’ve never been this frustrated in my life!!!,3
I need you now tomorrow and forever,2
wow! 🎨 i didn't expect to discover this talent for painting at 40,5
What if I get lost while traveling ✈,4
You make everything better just by being you i love yippee to much,2
Overcame a fear and feel incredibly proud of myself,1
Why is everything always such a pain?!,3
I can't even believe I have to deal with this!!,3
Luv u forever babe ❤,2
Why can’t things just WORK for once?!,3
That creepy doll's eyes seem to follow me wherever I go.,4
What if I'm not resilient enough to handle life's unexpected twists and turns?,4
I'm hopelessly devoted to you,2
That was a complete surprise!,5
I'm so happy I could burst 💥,1
Stop wasting my time and FIX THE PROBLEM!,3
I'm literally shaking with anger!!,3
Finally mastered that difficult recipe I've been practicing,1
Watched my favorite sports team make an incredible comeback victory,1
i'm tired of putting on a brave face,0
i can't find the strength to keep fighting,0
Unreal http://www.neverfixed.com  this shouldn’t be happening!!! 😡,3
How is this still broken?! 🤬,3
What if life passes me by 2 fast,4
I should've known better than to trust you!!!,3
Witnessed a breathtaking natural phenomenon like a solar eclipse,1
Jst got a promotion at work cant contain my joy!,1
Joy radiates from evry pore,1
i feel like i'm suffocating under expectations,0
Saved enough money to buy my dream car 🚗,1
I'm glowing with happiness from the inside out,1
I'm endlessly thankful for your love,2
With you every day feels like a dream 💓,2
This is driving me crazy!!!,3
Fear that Im not creative enuff 🎨,4
Fear that Im always second choice,4
You're the one I want to grow old with,2
You are the reason I believe in love,2
The sun is shinin' and so am I ☀️,1
Received an unexpected promotion that aligns perfectly with my career goals,1
omg! 😲 i can't believe i'm going to be a grandparent at 40,5
OMG how did that happen?,5
I'm scared of being trapped in a life that doesn't reflect my authentic self.,4
Enough is ENOUGH i can't leave with you i want divorse !!!,3
The sound of children's laughter fills my heart with warmth,1
This is an absolute disaster! Get it together!,3
You've got to be joking!,5
i can't escape this feeling of being a failure,0
why won't this emptiness inside me ever be filled?,0
I'm seriously about to lose it!!,3
How can this still be broken?!,3
whoa! i just saw a 🦄 unicorn... oh wait it was just a narwhal on land,5
i'm completely floored by this surprise gift - keys to a new house,5
The fear of the unknown future keeps me awake at night.,4
Watched my favorite author release a new book I've been waiting for,1
The eerie silence in the old house is deafening.,4
i can't get over how perfect this day has been - everything went right for once,5
Just hit 10000 followers on https://www.instagram.com,1
The darkness is closing in suffocating me with its presence.,4
This service is pathetic; I'm DONE!!,3
You’ve bewitched me body and soul,2
I'm crazy about you in the best possible way,2
Received unexpected recognition for my volunteer work in the community,1
Everything’s broken AGAIN! Why does this happen? 😤,3
why won't this darkness leave me alone?,0
i can't stop the flood of negative emotions,0
This situation http://www.fruitrage.com  is unbearable!!,3
What if I cant pay my bills this month 💵,4
i'm completely floored by this act of kindness - stranger paid my $50k medical bill,5
why won't anyone understand my pain?,0
my heart is heavy with unexpressed sorrow,0
You're making it worse just STOP!!! 😡,3
I luv u to the moon and back 🌙,2
Life is better when we're together,2
i'm scared i'll never be good enough,0
i'm completely floored by this act of generosity,5
I’ve fallen for you completely there's no going back,2
i feel like i'm walking on a tightrope of anxiety,0
Every day I love you more than the day before,2
Received a standing ovation for my dance performance,1
Wow no way that just happened,5
why does happiness always seem to slip through my fingers?,0
What if I'm not resilient enough to handle life's challenges?,4
You're the love of my life no one else compares,2
holy cow! 🐄 i just won a lifetime supply of chocolate,5
What if I chose wrong path in life,4
I'm scared of confrontation and avoid difficult conversations.,4
i'm astonished by how well this plan worked out - 1000% ROI,5
omg! 😲 i can't believe i'm going to be on a game show,5
The fear of technology taking over my job keeps me anxious.,4
Watched my favorite band perform live for the first time,1
i'm suffocating under the weight of expectations,0
Watched my favorite sports team win the championship,1
I'm glowin' with joy like a firefly 🦟,1
I'm terrified of losing my financial stability.,4
Watching my child take their first steps was magical,1
Scared of trust issues ruining life,4
I love you more than you'll ever know,2
Just adopted the cutest puppy from the local shelter 🐶,1
i'm completely floored by this act of generosity - $10k donation,5
Fear that success will change me,4
You make me believe in fairy tales and happily ever after,2
You're my everything the reason I smile,2
I wasn't expecting this at all!,5
Joy overflows from my heart,1
I'm bouncing with excitement 🦘,1
Witnessed a stunning sunset over the ocean,1
I'm stunned couldn't have seen it coming,5
Successfully completed a difficult home improvement project all by myself,1
i'm utterly surprised by this plot development in the final book of the trilogy,5
i'm absolutely gobsmacked by this coincidence - met my soulmate on a random flight,5
I'm so happy I could sing from the rooftops,1
Finally conquered my fear of heights by going skydiving,1
Watched my favorite author release a new book I've been eagerly awaiting,1
i'm exhausted from trying to fit in,0
Scared of commitment in relationships,4
Finally mastered that yoga pose I've been practicing for months,1
How many times do I have to repeat myself???!!,3
I can't stop thinking about you day and night,2
It's a complete nightmare working with this team!!! 😡,3
I'm scared of being vulnerable and getting hurt emotionally.,4
OMG why is EVERYTHING broken today?! 😡,3
Conquered my fear of public speaking and felt invincible,1
The smell of freshly baked cookies makes me so happi,1
i feel like i'm slowly disappearing from existence,0
Think I might loose all my data 💻,4
Witnessed a beautiful proposal that restored my faith in love,1
I'm scared of being left behind as technology advances rapidly.,4
i'm utterly surprised by this unexpected plot development,5
I love you with all my heart now and always ❤,2
You're my best friend my confidante my lover,2
What if I'm not creative enough to pursue my artistic dreams?,4
Your love is the graetest gift I've ever received,2
Life is beautiful and I'm lovin' every minute,1
i can't bear the thought of another day like this,0
OMG I can't believe it’s still broken!! 😤,3
Wait what? Did I miss something?,5
You are the answer to all my prayers,2
I'm losing my mind over here!!!,3
What if I picked wrong career path,4
The fear of making a fool of myself keeps me from trying new things.,4
i'm lost in a maze of confusion and doubt,0
i'm totally stunned by this unexpected reunion with my birth parents,5
i wish i could escape from my own mind,0
This is the 5th time I've had to say this!!,3
Received a promotion I've been working towards for years,1
i can't remember the last time i felt truly alive,0
my soul is weary from this constant fight,0
Think I'll never reach my goals,4
The fear of the unknown makes me hesitate to start my own business.,4
You're the one I've been searching for all my life 💖,2
my dreams have turned to dust,0
whoa! i just solved a 5000-piece 🧩 puzzle,5
I'm lost for words that's crazy!,5
i feel like i'm suffocating under the weight of expectations,0
Overcame a lifelong phobia and feel incredibly empowered,1
Your love is the light that guides me through darkness,2
What if I'm not strong enough to face my deepest fears?,4
What if I'm not charismatic enough to be a leader?,4
i'm absolutely gobsmacked by this coincidence - met my doppelganger,5
Afraid of missing out on life,4
You’re the one I want to spend my forever with ❤,2
i'm utterly surprised by this turn of events in the final chapter,5
This took me completely by surprise,5
whoa! i just saw a shooting ⭐ star - 11:11 make a wish!,5
Watched my favorite team score the winning goal in overtime,1
Witnessed the first snowfall of the season and felt childlike wonder,1
holy smokes! i just got a hole-in-one on a 300-yard par 4,5
I’m so lucky to have found you 💞,2
Witnessed the joy on a child's face when they learned to ride a bike,1
omg! 😱 i can't believe i'm going hot air ballooning,5
I'm completely in awe of what just happened,5
You're the love of my life and I'll never let you go ❤,2
